station,valid,tmpf,dwpf,drct,sknt,mslp,p01i,vsby,gust,wxcodes,valid_date,valid_hour
EWR,2015-11-01T01:51:00Z,50,40,0,0,1017.4,0,10,NA,NA,2015-11-01,2015-11-01T01:00:00Z
EWR,2015-11-01T01:51:00Z,52,41,160,4,1016.5,0,10,NA,NA,2015-11-01,2015-11-01T01:00:00Z
EWR,2016-11-06T01:51:00Z,52,42,270,8,1020,0,10,NA,NA,2016-11-06,2016-11-06T01:00:00Z
EWR,2016-11-06T01:51:00Z,51,42,280,8,1019.9,0,10,NA,NA,2016-11-06,2016-11-06T01:00:00Z
EWR,2017-11-05T01:51:00Z,53,47,80,8,1025.8,0.02,10,NA,-RA,2017-11-05,2017-11-05T01:00:00Z
EWR,2017-11-05T01:51:00Z,54,48,70,7,1024.9,NA,10,NA,-RA,2017-11-05,2017-11-05T01:00:00Z
EWR,2018-11-04T01:51:00Z,44,36,230,6,1028.4,0,10,NA,NA,2018-11-04,2018-11-04T01:00:00Z
EWR,2018-11-04T01:51:00Z,45,36,270,7,1028.9,0,10,NA,NA,2018-11-04,2018-11-04T01:00:00Z
EWR,2019-11-03T01:51:00Z,43,32,250,4,1017.2,0,10,NA,NA,2019-11-03,2019-11-03T01:00:00Z
EWR,2019-11-03T01:51:00Z,42,32,260,6,1017.2,0,10,NA,NA,2019-11-03,2019-11-03T01:00:00Z
EWR,2020-11-01T01:51:00Z,39,32,0,0,1028.1,0,10,NA,NA,2020-11-01,2020-11-01T01:00:00Z
EWR,2020-11-01T01:51:00Z,42,34,0,0,1027.1,0,10,NA,NA,2020-11-01,2020-11-01T01:00:00Z
EWR,2021-11-07T01:51:00Z,40,33,30,5,1025.2,0,10,NA,NA,2021-11-07,2021-11-07T01:00:00Z
EWR,2021-11-07T01:51:00Z,37,30.9,10,4,1025.1,0,10,NA,NA,2021-11-07,2021-11-07T01:00:00Z
EWR,2022-11-06T01:51:00Z,68,61,170,5,1022.5,0,10,NA,NA,2022-11-06,2022-11-06T01:00:00Z
EWR,2022-11-06T01:51:00Z,67,61,150,5,1022.5,0,10,NA,NA,2022-11-06,2022-11-06T01:00:00Z
EWR,2023-06-25T18:50:00Z,NA,NA,0,0,NA,NA,10,NA,NA,2023-06-25,2023-06-25T18:00:00Z
EWR,2023-06-25T18:50:00Z,79,69,0,0,1009,0,10,NA,TS,2023-06-25,2023-06-25T18:00:00Z
EWR,2023-11-05T01:51:00Z,52,40,0,0,1018.5,0,10,NA,NA,2023-11-05,2023-11-05T01:00:00Z
EWR,2023-11-05T01:51:00Z,51,40,0,0,1017.8,0,10,NA,NA,2023-11-05,2023-11-05T01:00:00Z
EWR,2024-11-03T01:51:00Z,45,31,10,9,1029.4,0,10,NA,NA,2024-11-03,2024-11-03T01:00:00Z
EWR,2024-11-03T01:51:00Z,45,31,10,9,1029.9,0,10,NA,NA,2024-11-03,2024-11-03T01:00:00Z
JFK,2015-11-01T01:51:00Z,54,41,220,8,1018.1,0,10,NA,NA,2015-11-01,2015-11-01T01:00:00Z
JFK,2015-11-01T01:51:00Z,55,42,210,6,1017.3,0,10,NA,NA,2015-11-01,2015-11-01T01:00:00Z
JFK,2016-11-06T01:51:00Z,56,43,270,10,1019.9,0,10,NA,NA,2016-11-06,2016-11-06T01:00:00Z
JFK,2016-11-06T01:51:00Z,56,42,260,9,1019.6,0,10,NA,NA,2016-11-06,2016-11-06T01:00:00Z
JFK,2017-11-05T01:51:00Z,51,48,70,7,1026.8,NA,10,NA,-RA,2017-11-05,2017-11-05T01:00:00Z
JFK,2017-11-05T01:51:00Z,51,49,70,11,1025.4,0.02,10,NA,-RA,2017-11-05,2017-11-05T01:00:00Z
JFK,2018-11-04T01:51:00Z,49,36,280,9,1028.4,0,10,NA,NA,2018-11-04,2018-11-04T01:00:00Z
JFK,2018-11-04T01:51:00Z,48,35,310,10,1029,0,10,NA,NA,2018-11-04,2018-11-04T01:00:00Z
JFK,2019-11-03T01:51:00Z,45,32,300,5,1017.3,0,10,NA,NA,2019-11-03,2019-11-03T01:00:00Z
JFK,2019-11-03T01:51:00Z,45,33,280,8,1017.4,0,10,NA,NA,2019-11-03,2019-11-03T01:00:00Z
JFK,2020-11-01T01:51:00Z,46,34,240,20,1028.6,0,10,25,NA,2020-11-01,2020-11-01T01:00:00Z
JFK,2020-11-01T01:51:00Z,45,32,250,11,1027.6,0,10,NA,NA,2020-11-01,2020-11-01T01:00:00Z
JFK,2021-11-07T01:51:00Z,39,33,40,3,1025.3,0,10,NA,NA,2021-11-07,2021-11-07T01:00:00Z
JFK,2021-11-07T01:51:00Z,40,33,20,4,1025.1,0,10,NA,NA,2021-11-07,2021-11-07T01:00:00Z
JFK,2022-11-06T01:51:00Z,64,62,180,9,1023.4,0,10,NA,NA,2022-11-06,2022-11-06T01:00:00Z
JFK,2022-11-06T01:51:00Z,64,62,170,11,1023.3,0,10,NA,NA,2022-11-06,2022-11-06T01:00:00Z
JFK,2023-11-05T01:51:00Z,52,40,290,6,1018.6,0,10,NA,NA,2023-11-05,2023-11-05T01:00:00Z
JFK,2023-11-05T01:51:00Z,52,40,290,3,1018,0,10,NA,NA,2023-11-05,2023-11-05T01:00:00Z
JFK,2024-06-26T20:40:00Z,74,68,200,13,NA,0,10,NA,TS,2024-06-26,2024-06-26T20:00:00Z
JFK,2024-06-26T20:40:00Z,NA,NA,NA,NA,NA,NA,10,NA,NA,2024-06-26,2024-06-26T20:00:00Z
JFK,2024-07-06T13:50:00Z,81,75,180,8,1011,0,10,NA,NA,2024-07-06,2024-07-06T13:00:00Z
JFK,2024-07-06T13:50:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-06,2024-07-06T13:00:00Z
JFK,2024-11-03T01:51:00Z,45,33,30,6,1029.5,0,10,NA,NA,2024-11-03,2024-11-03T01:00:00Z
JFK,2024-11-03T01:51:00Z,45,32,20,7,1029.9,0,10,NA,NA,2024-11-03,2024-11-03T01:00:00Z
LGA,2015-11-01T01:51:00Z,54,38,210,6,1017.4,0,10,NA,NA,2015-11-01,2015-11-01T01:00:00Z
LGA,2015-11-01T01:51:00Z,54,39,200,5,1016.5,0,10,NA,NA,2015-11-01,2015-11-01T01:00:00Z
LGA,2016-11-06T01:51:00Z,59,43,290,10,1019.5,0,10,NA,NA,2016-11-06,2016-11-06T01:00:00Z
LGA,2016-11-06T01:51:00Z,58,43,290,12,1019.2,0,10,NA,NA,2016-11-06,2016-11-06T01:00:00Z
LGA,2017-11-05T01:51:00Z,52,46,80,10,1026.4,0.01,10,NA,-RA,2017-11-05,2017-11-05T01:00:00Z
LGA,2017-11-05T01:51:00Z,52,47,70,12,1025.3,NA,10,NA,-RA,2017-11-05,2017-11-05T01:00:00Z
LGA,2018-11-04T01:51:00Z,50,34,300,12,1027.9,0,10,19,NA,2018-11-04,2018-11-04T01:00:00Z
LGA,2018-11-04T01:51:00Z,49,35,290,9,1028.3,0,10,NA,NA,2018-11-04,2018-11-04T01:00:00Z
LGA,2019-11-03T01:51:00Z,46,30,310,9,1016.8,0,10,NA,NA,2019-11-03,2019-11-03T01:00:00Z
LGA,2019-11-03T01:51:00Z,46,30.9,280,6,1016.8,0,10,NA,NA,2019-11-03,2019-11-03T01:00:00Z
LGA,2020-11-01T01:51:00Z,46,30.9,210,9,1028,0,10,NA,NA,2020-11-01,2020-11-01T01:00:00Z
LGA,2020-11-01T01:51:00Z,45,30,230,4,1027.2,0,10,NA,NA,2020-11-01,2020-11-01T01:00:00Z
LGA,2021-11-07T01:51:00Z,47,35,10,4,1025,0,10,NA,NA,2021-11-07,2021-11-07T01:00:00Z
LGA,2021-11-07T01:51:00Z,46,37,350,4,1024.9,0,10,NA,NA,2021-11-07,2021-11-07T01:00:00Z
LGA,2022-11-06T01:51:00Z,66.2,60.8,180,9,NA,0,10,NA,NA,2022-11-06,2022-11-06T01:00:00Z
LGA,2022-11-06T01:51:00Z,65,60,180,7,1023.2,0,10,NA,NA,2022-11-06,2022-11-06T01:00:00Z
LGA,2023-11-05T01:51:00Z,56,36,0,0,1018.2,0,10,NA,NA,2023-11-05,2023-11-05T01:00:00Z
LGA,2023-11-05T01:51:00Z,56,36,0,0,1017.5,0,10,NA,NA,2023-11-05,2023-11-05T01:00:00Z
LGA,2024-03-05T08:50:00Z,NA,NA,60,21,NA,0.12,1.75,28,-RA BR,2024-03-05,2024-03-05T08:00:00Z
LGA,2024-03-05T08:50:00Z,42,39,60,20,1022.5,0.12,1,29,-RA BR,2024-03-05,2024-03-05T08:00:00Z
LGA,2024-06-26T20:55:00Z,76,62,210,13,NA,0.01,2.5,43,+TSRA,2024-06-26,2024-06-26T20:00:00Z
LGA,2024-06-26T20:55:00Z,NA,NA,210,13,NA,0.01,3,NA,+RA,2024-06-26,2024-06-26T20:00:00Z
LGA,2024-08-31T05:15:00Z,NA,NA,70,2,NA,NA,10,NA,NA,2024-08-31,2024-08-31T05:00:00Z
LGA,2024-08-31T05:15:00Z,69,62,70,3,NA,0,10,NA,NA,2024-08-31,2024-08-31T05:00:00Z
LGA,2024-11-03T01:51:00Z,47,30,30,7,1029.3,0,10,NA,NA,2024-11-03,2024-11-03T01:00:00Z
LGA,2024-11-03T01:51:00Z,46,30,40,11,1029.8,0,10,NA,NA,2024-11-03,2024-11-03T01:00:00Z
